epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4201.65,0.62446,1.03377,0.66035,1.19313,0.88336,0.71155,0.8255,0.64685,0.86506,0.69693,0.78452,0.57625,1.03345,3.06751,1.13418,1.68855,0.00101531,0.00101531,0.00101531
89,4210.83,0.60201,0.95272,0.62457,1.1694,0.88421,0.78733,0.87777,0.66504,0.8481,0.75827,0.82361,0.57741,0.94354,2.92906,1.00168,1.65662,0.00101421,0.00101421,0.00101421
90,4220.07,0.60036,1.01524,0.63385,1.1572,0.92288,0.7127,0.83454,0.66519,0.86766,0.66877,0.76953,0.59196,1.00391,3.08727,1.17614,1.72008,0.00101311,0.00101311,0.00101311
91,4228.78,0.59944,0.93136,0.61239,1.15197,0.83101,0.77237,0.79711,0.67125,0.80269,0.74295,0.76188,0.57589,0.88407,2.92337,1.28917,1.53396,0.00101201,0.00101201,0.00101201
92,4237.59,0.59894,0.986,0.64703,1.16948,0.89511,0.67525,0.77281,0.62836,0.86075,0.64584,0.7453,0.57635,0.96249,2.87842,1.48172,1.57945,0.00101091,0.00101091,0.00101091
93,4246.29,0.5702,0.95312,0.61047,1.1364,0.85022,0.8034,0.85729,0.68671,0.80738,0.75874,0.81947,0.57573,0.88067,2.6997,1.24468,1.43907,0.00100981,0.00100981,0.00100981
94,4255.41,0.6026,0.95365,0.63447,1.16654,0.83496,0.80134,0.8492,0.6474,0.80832,0.74632,0.81108,0.54771,0.94929,2.84644,1.19227,1.57978,0.00100871,0.00100871,0.00100871
95,4263.97,0.59128,1.01427,0.67687,1.16365,0.89987,0.80515,0.83579,0.67147,0.86602,0.77574,0.80641,0.5733,0.94281,3.00076,1.18809,1.54988,0.00100761,0.00100761,0.00100761
96,4272.6,0.5708,0.95272,0.63261,1.1469,0.81017,0.76223,0.81272,0.61676,0.79464,0.74801,0.77844,0.54707,0.9768,3.07644,1.20307,1.64363,0.00100651,0.00100651,0.00100651
97,4281.15,0.59207,0.98415,0.64014,1.13534,0.77536,0.80331,0.83589,0.66565,0.7469,0.7739,0.77312,0.55683,0.88177,3.03916,1.09406,1.56907,0.00100541,0.00100541,0.00100541
98,4289.99,0.60407,1.04403,0.6316,1.16308,0.93584,0.84044,0.88535,0.68841,0.91013,0.78865,0.81777,0.59934,0.90691,3.11409,1.07327,1.61292,0.00100431,0.00100431,0.00100431
99,4299.07,0.60613,1.01713,0.60627,1.15989,0.89259,0.8617,0.87158,0.69685,0.86358,0.83267,0.84432,0.60461,0.88396,2.8857,1.03151,1.55595,0.00100321,0.00100321,0.00100321
100,4307.95,0.61372,1.00235,0.63085,1.13781,0.88545,0.71324,0.83223,0.62651,0.85111,0.68382,0.77272,0.54779,0.98487,2.86841,1.1097,1.64209,0.00100211,0.00100211,0.00100211
101,4316.38,0.58925,0.97045,0.61677,1.14103,0.82177,0.75376,0.79101,0.59899,0.78848,0.72462,0.73017,0.5195,1.02409,2.86035,1.27079,1.66414,0.00100101,0.00100101,0.00100101
